paper_id,year,title,for_l2,for_l4
pub.1142427835,2021,Deep Learning of the Retina Enables Phenome- and Genome-wide Analyses of the Microvasculature,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1142427838,2021,Causes of Death in People With Cardiovascular Disease: A UK Biobank Cohort Study,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1142427843,2021,Electrocardiogram-based Deep Learning and Clinical Risk Factors to Predict Atrial Fibrillation,Health Sciences,Epidemiology
pub.1142430352,2021,Predicting novel candidate human obesity genes and their site of action by systematic functional screening in Drosophila,Biological Sciences; Biomedical and Clinical Sciences,Genetics
pub.1142433734,2021,Risk of lower respiratory tract infections: a genome-wide association study with Mendelian randomization analysis in three independent European populations,Biomedical and Clinical Sciences,Clinical Sciences; Medical Microbiology
pub.1142434308,2021,Age- and sex-specific modifiable risk factor profiles of dementia: evidence from the UK Biobank,Health Sciences,Epidemiology; Health Services and Systems; Public Health
pub.1142434883,2021,Genome-wide by Environment Interaction Study of Stressful Life Events and Hospital-Treated Depression in the iPSYCH2012 Sample,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142435592,2021,Penalized generalized estimating equations for relative risk regression with applications to brain lesion data,Mathematical Sciences,Statistics
pub.1142443899,2021,Effect of n-3 polyunsaturated fatty acids on ischemic heart disease and cardiometabolic risk factors: a two-sample Mendelian randomization study,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1142452266,2021,The genetic case for cardiorespiratory fitness as a clinical vital sign and the routine prescription of physical activity in healthcare,Biological Sciences,Genetics
pub.1142452694,2021,"Genome-wide association analyses of individual differences in quantitatively assessed reading- and language-related skills in up to 34,000 people",Biological Sciences; Psychology,Biological Psychology; Genetics
pub.1142459369,2021,Individual variations in ‘brain age’ relate to early-life factors more than to longitudinal brain change,Biological Sciences; Biomedical and Clinical Sciences; Health Sciences,Unclassified
pub.1142461769,2021,"Mapping Complex Brain Torque Components and Their Genetic Architecture and Phenomic Associations in 24,112 Individuals",Psychology,Biological Psychology
pub.1142462912,2021,Genetic analyses of the QT interval and its components in over 250K individuals identifies new loci and pathways affecting ventricular depolarization and repolarization,Biological Sciences,Genetics
pub.1142463197,2021,"Causal Association of Coffee Consumption and Total, Knee, Hip and Self-Reported Osteoarthritis: A Mendelian Randomization Study",Biomedical and Clinical Sciences,Clinical Sciences
pub.1142473686,2021,Long-Term Cognitive Outcome following Aneurysmal Subarachnoid Haemorrhage,Biomedical and Clinical Sciences,Clinical Sciences; Neurosciences
pub.1142475201,2021,Longitudinal Changes of Cardiac and Aortic Imaging Phenotypes Following COVID-19 in the UK Biobank Cohort,Biomedical and Clinical Sciences,Clinical Sciences
pub.1142482127,2021,"Differences in Clinical Features and Comorbid Burden between HLA-C ∗06:02 Carrier Groups in >9,000 People with Psoriasis",Biomedical and Clinical Sciences,Clinical Sciences
pub.1142483603,2021,Biobank-scale inference of ancestral recombination graphs enables genealogy-based mixed model association of complex traits,Biological Sciences; Health Sciences; Mathematical Sciences,Epidemiology; Genetics
pub.1142492606,2021,Likelihood based Mendelian randomization analysis with automated instrument selection and horizontal pleiotropic modeling,Health Sciences,Epidemiology
pub.1142513158,2021,"Genome-wide analysis of common and rare variants via multiple knockoffs at biobank scale, with an application to Alzheimer disease genetics",Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142521257,2021,Multi-scale semi-supervised clustering of brain images: Deriving disease subtypes,Biomedical and Clinical Sciences; Engineering,Unclassified
pub.1142523269,2021,Parent-of-origin effects in the UK Biobank,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142527607,2021,"Effect of Loss-of-Function Genetic Variants in PCSK9 on Glycemic Traits, Neurocognitive Impairment, and Hepatobiliary Function.",Health Sciences,Unclassified
pub.1142548117,2022,Association of Apolipoprotein B–Containing Lipoproteins and Risk of Myocardial Infarction in Individuals With and Without Atherosclerosis,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1142549156,2021,Blood pressure lowering and risk of new-onset type 2 diabetes: an individual participant data meta-analysis,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Epidemiology
pub.1142555055,2021,Low grade systemic inflammation is a risk factor for infection death: an observational cohort study,Biomedical and Clinical Sciences; Health Sciences,Public Health
pub.1142556215,2021,Genetics of Myocardial Interstitial Fibrosis in the Human Heart and Association with Disease,Biological Sciences; Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Genetics
pub.1142561851,2021,Discovering metabolite quantitative trait loci in asthma using an isolated population,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics
pub.1142563755,2021,Mutagenesis of human genomes by endogenous mobile elements on a population scale,Biological Sciences,Bioinformatics and Computational Biology
pub.1142565110,2021,Estimating causal effects of atherogenic lipid-related traits on COVID-19 susceptibility and severity using a two-sample Mendelian randomization approach,Biological Sciences; Biomedical and Clinical Sciences,Genetics; Medical Biochemistry and Metabolomics
pub.1142567592,2021,"Replication of epidemiological associations of carpal tunnel syndrome in a UK population-based cohort of over 400,000 people",Biomedical and Clinical Sciences,Clinical Sciences; Dentistry
pub.1142567966,2021,Bladder cancer risk variants and overall and disease‐specific survival in two independent cohorts,Biomedical and Clinical Sciences,Clinical Sciences; Oncology and Carcinogenesis
pub.1142568238,2021,Fusobacterium nucleatum and oral cancer: a critical review,Biomedical and Clinical Sciences,Dentistry; Oncology and Carcinogenesis
pub.1142572713,2021,Variance-quantitative trait loci enable systematic discovery of gene-environment interactions for cardiometabolic serum biomarkers,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142575557,2021,Genetically determined cutaneous nevi and risk of cancer,Biomedical and Clinical Sciences,Oncology and Carcinogenesis
pub.1142578405,2021,Association of chronic musculoskeletal pain with mortality among UK adults: A population-based cohort study with mediation analysis,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Epidemiology; Public Health
pub.1142580766,2021,"A genome-wide search for determinants of survival in 1926 patients with advanced colorectal cancer with follow-up in over 22,000 patients",Biomedical and Clinical Sciences,Oncology and Carcinogenesis
pub.1142586878,2021,White matter damage due to pulsatile versus steady blood pressure differs by vascular territory: A cross-sectional analysis of the UK Biobank cohort study,Biomedical and Clinical Sciences,Clinical Sciences; Neurosciences
pub.1142587222,2021,Gut microbiota is associated with bone mineral density,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Sports Science and Exercise
pub.1142587687,2021,Molecular epidemiology of extended-spectrum beta-lactamase–producing extra-intestinal pathogenic Escherichia coli strains over a 2-year period (2017–2019) from Zimbabwe,Biological Sciences; Biomedical and Clinical Sciences,Clinical Sciences; Medical Microbiology; Microbiology; Oncology and Carcinogenesis
pub.1142587836,2021,COVID-19 and risk of subsequent life-threatening secondary infections: a matched cohort study in UK Biobank,Biomedical and Clinical Sciences,Clinical Sciences
pub.1142588166,2021,"Consumption of coffee and tea and risk of developing stroke, dementia, and poststroke dementia: A cohort study in the UK Biobank",Health Sciences,Epidemiology; Health Services and Systems
pub.1142594694,2021,Differences in COVID-19 vaccination coverage by occupation in England: a national linked data study,Health Sciences,Public Health
pub.1142596334,2021,Genetically predicted levels of the human plasma proteome and risk of stroke: a Mendelian Randomization study,Health Sciences,Epidemiology
pub.1142602612,2021,"Leisure Activities and Their Relationship With MRI Measures of Brain Structure, Functional Connectivity, and Cognition in the UK Biobank Cohort",Biomedical and Clinical Sciences,Neurosciences
pub.1142606239,2021,Controversies between regulations of research ethics and protection of personal data: informed consent at a cross-road,Philosophy and Religious Studies,Applied Ethics
pub.1142611212,2021,Triglyceride-Glucose Index Is Not Associated With Lung Cancer Risk: A Prospective Cohort Study in the UK Biobank,Biomedical and Clinical Sciences,Oncology and Carcinogenesis
pub.1142615657,2021,"Handedness and its genetic influences are associated with structural asymmetries of the cerebral cortex in 31,864 individuals",Psychology,Biological Psychology
pub.1142618867,2021,Warped Bayesian linear regression for normative modelling of big data.,Biomedical and Clinical Sciences; Health Sciences,Unclassified
pub.1142623525,2021,Hospital management of major stroke types in Chinese adults: a population-based study of 20 000 hospitalised stroke cases,Health Sciences,Health Services and Systems
pub.1142632214,2021,Investigating a Potential Causal Relationship Between Maternal Blood Pressure During Pregnancy and Future Offspring Cardiometabolic Health,Biomedical and Clinical Sciences,Reproductive Medicine
pub.1142635369,2021,Economic Gradients in Social Health in Britain,Health Sciences; Human Society,Epidemiology; Public Health
pub.1142636750,2019,"The Causal Effects of Education on Adult Health, Mortality and Income: Evidence from Mendelian Randomization and the Raising of the School Leaving Age",Health Sciences; Mathematical Sciences,Epidemiology; Statistics
pub.1142643370,2021,Healthy Sleep Associated With Lower Risk of Hypertension Regardless of Genetic Risk: A Population-Based Cohort Study,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1142654302,2021,Regulatory SNP of RREB1 is Associated With Bone Mineral Density in Chinese Postmenopausal Osteoporosis Patients,Biological Sciences,Genetics
pub.1142672289,2021,Gene-Environment Effects on Female Fertility,Human Society,Demography
pub.1142677049,2021,Genetic architecture of orbital telorism,Biological Sciences,Genetics
pub.1142677159,2021,The European Genome-phenome Archive in 2021,Biological Sciences,Bioinformatics and Computational Biology
pub.1142677729,2021,Genomic predictors of testosterone levels are associated with muscle fiber size and strength,Biomedical and Clinical Sciences; Health Sciences,Sports Science and Exercise
pub.1142678210,2021,Hospitalisation events in people with chronic kidney disease as a component of multimorbidity: parallel cohort studies in research and routine care settings,Health Sciences,Health Services and Systems
pub.1142679676,2021,Sociodemographic factors associated with treatment-seeking and treatment receipt: cross-sectional analysis of UK Biobank participants with lifetime generalised anxiety or major depressive disorder,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences
pub.1142686031,2021,"Interleukin-1 receptor antagonist, mode of analgesia and risk of Caesarean delivery after onset of labour: a Mendelian randomisation analysis",Biomedical and Clinical Sciences,Reproductive Medicine
pub.1142687685,2021,Molecular and in vivo phenotyping of missense variants of the human glucagon receptor,Biological Sciences; Biomedical and Clinical Sciences,Pharmacology and Pharmaceutical Sciences
pub.1142688420,2021,"Novel disease associations with schizophrenia genetic risk revealed in ~400,000 UK Biobank participants",Biomedical and Clinical Sciences; Psychology,Biological Psychology; Clinical Sciences; Clinical and Health Psychology
pub.1142692331,2021,Diet‐Derived Antioxidants Do Not Decrease Risk of Ischemic Stroke: A Mendelian Randomization Study in 1 Million People,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1142697354,2021,Adiposity by Differing Measures and the Risk of Cataract in the UK Biobank: The Importance of Diabetes,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1142697518,2021,"The sequences of 150,119 genomes in the UK biobank",Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142697549,2021,Parent-of-origin effects in the UK Biobank,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142704118,2021,Powerful gene-based testing by integrating long-range chromatin interactions and knockoff genotypes,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142713837,2021,Analysis of MRI-derived spleen iron in the UK Biobank identifies genetic variation linked to iron homeostasis and erythrocyte morphology,Biological Sciences,Genetics
pub.1142714605,2021,"Frequency and phenotype associations of rare variants in five monogenic cerebral small vessel disease genes in 200,000 UK Biobank participants with whole exome sequencing data",Biological Sciences; Health Sciences,Epidemiology; Genetics; Health Services and Systems
pub.1142714956,2021,Associations between long-term conditions and upper gastrointestinal cancer incidence: A prospective population-based cohort of UK Biobank participants,Health Sciences,Epidemiology; Health Services and Systems
pub.1142738508,2021,A linear adjustment based approach to posterior drift in transfer learning,Information and Computing Sciences; Mathematical Sciences,Machine Learning; Statistics
pub.1142747185,2021,"Outcomes and phenotypic expression of rare variants in hypertrophic cardiomyopathy genes in over 200,000 adults",Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1142747460,2021,"Repeat revascularisation following PCI in the UK Biobank prospective cohort study: incidence, independent predictors and prognostic impact",Biomedical and Clinical Sciences,Clinical Sciences
pub.1142747625,2021,Association of daily coffee consumption with cardiovascular health – results from the UK Biobank,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1142747626,2021,"Associations between saturated fatty acids from different dietary sources and cardiovascular disease risk in 114,285 UK Biobank study participants",Biomedical and Clinical Sciences,Nutrition and Dietetics
pub.1142747781,2021,Genetically determined risk of mood swings and cardiometabolic diseases: mendelian randomization study,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1142747982,2021,Impact of ACLY on type 2 diabetes in UK Biobank: a Mendelian randomisation study,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1142748018,2021,Fairness in AI: are deep learning-based CMR segmentation algorithms biased?,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1142748100,2021,A model of lifetime health outcomes in cardiovascular disease based on clinical trials and large cohorts,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1142748241,2021,Integration of Scandinavian genetic data with UK biobank data implicates the RBM20 gene with atrial fibrillation pathogenesis,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1142749622,2021,"BrainWear: Longitudinal, objective assessment of physical activity in 42 High Grade Glioma (HGG) patients",Biomedical and Clinical Sciences,Clinical Sciences
pub.1142905185,2021,Integration of Real‐World Data and Genetics to Support Target Identification and Validation,Biomedical and Clinical Sciences,Pharmacology and Pharmaceutical Sciences
pub.1142909761,2021,Causal effects of atrial fibrillation on brain white and gray matter volume: a Mendelian randomization study,Health Sciences,Epidemiology
pub.1142911426,2021,Causal effect of adiposity on the risk of 19 gastrointestinal diseases: a Mendelian randomization study,Health Sciences; Mathematical Sciences,Epidemiology; Statistics
pub.1142915374,2021,Loneliness is linked to specific subregional alterations in hippocampus-default network covariation,Biomedical and Clinical Sciences; Psychology,Biological Psychology
pub.1142918748,2021,Understanding the interrelationships of type-2 diabetes and hypertension with brain and cognitive health: a UK Biobank study,Health Sciences; Psychology,Public Health
pub.1142920246,2021,Bayesian model comparison for rare-variant association studies,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1142921654,2021,"Human and rat skeletal muscle single-nuclei multi-omic integrative analyses nominate causal cell types, regulatory elements, and SNPs for complex traits",Biological Sciences,Bioinformatics and Computational Biology; Genetics
pub.1143010028,2021,Association between Cognitive Function and Depression with Human T-Cell Lymphotropic Virus 1 Seropositivity and Serointensity in UK Adults,Biological Sciences; Biomedical and Clinical Sciences,Immunology; Medical Microbiology; Microbiology
pub.1143046462,2021,Oxytocin-pathway polygenic scores for severe mental disorders and metabolic phenotypes in the UK Biobank,Psychology,Biological Psychology
pub.1143050320,2021,A Deep Learning-based Genome-wide Polygenic Risk Score for Common Diseases Identifies Individuals with Risk,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1143050959,2021,Circadian regulation of lung repair and regeneration,Biomedical and Clinical Sciences,Medical Microbiology
pub.1143051745,2021,Glycated haemoglobin measurements from UK Biobank are different to those in linked primary care records: implications for combining biochemistry data from research studies and routine clinical care,Earth Sciences; Health Sciences,Geology
pub.1143065614,2021,Searching for robust associations with a multi-environment knockoff filter,Mathematical Sciences,Statistics
pub.1143065712,2021,Accelerometer-derived sleep onset timing and cardiovascular disease incidence: a UK Biobank cohort study,Biomedical and Clinical Sciences; Health Sciences,Epidemiology
pub.1143066263,2021,"Are polygenic risk scores for systolic blood pressure and LDL-cholesterol associated with treatment effectiveness, and clinical outcomes among those on treatment?",Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1143067003,2021,Genome-wide association study of cerebellar volume,Biological Sciences; Psychology,Biological Psychology; Genetics
pub.1143140708,2021,"Genetic analysis of the PCSK9 locus in psychological, psychiatric, metabolic and cardiovascular traits in UK Biobank.",Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1143197236,2021,Associations of neighbourhood housing density with loneliness and social isolation: a cross-sectional study using UK Biobank data,Health Sciences,Public Health
pub.1143197751,2021,Observational and genetic evidence highlight the association of human sleep behaviors with the incidence of fracture,Biomedical and Clinical Sciences,Unclassified
pub.1143198462,2021,Combining machine learning and conventional statistical approaches for risk factor discovery in a large cohort study,Health Sciences,Epidemiology; Public Health
pub.1143198625,2021,Deep learning enables genetic analysis of the human thoracic aorta,Biological Sciences,Genetics
pub.1143201250,2021,Non-linear isocaloric substitution analysis: an example using the UK Biobank prospective cohort study,Biomedical and Clinical Sciences; Health Sciences,Epidemiology; Nutrition and Dietetics
pub.1143205036,2021,Mendelian randomization analysis of the causal impact of body mass index and waist-hip ratio on rates of hospital admission,Economics,Applied Economics
pub.1143206110,2021,Exploring the genetic correlation between obesity-related traits and regional brain volumes: Evidence from UK Biobank cohort,Biomedical and Clinical Sciences; Psychology,Biological Psychology
pub.1143209107,2021,"White matter, cognition and psychotic-like experiences in UK Biobank",Psychology,Biological Psychology
pub.1143217263,2021,EPID-12. MITOCHONDRIAL DNA SEQUENCE VARIATION AND MENINGIOMA,Biomedical and Clinical Sciences,Oncology and Carcinogenesis
pub.1143217989,2021,Physical work exposure matrix for use in the UK Biobank,"Commerce, Management, Tourism and Services; Health Sciences",Human Resources and Industrial Relations
pub.1143220169,2021,Human genetic evidence supports MAP3K15 inhibition as a therapeutic strategy for diabetes,Biological Sciences; Biomedical and Clinical Sciences,Clinical Sciences; Genetics
pub.1143278714,2021,The Influence of CYP2D6 and CYP2C19 Genetic Variation on Diabetes Mellitus Risk in People Taking Antidepressants and Antipsychotics,Biological Sciences,Genetics
pub.1143280674,2021,Vitamin D Status of the British African-Caribbean Residents: Analysis of the UK Biobank Cohort,Biomedical and Clinical Sciences,Nutrition and Dietetics
pub.1143313947,2021,Evaluation of Early-Life Factors and Early-Onset Colorectal Cancer Among Men and Women in the UK Biobank,Biomedical and Clinical Sciences,Clinical Sciences; Nutrition and Dietetics
pub.1143321378,2021,Differences in Accelerometer-Measured Patterns of Physical Activity and Sleep/Rest Between Ethnic Groups and Age: An Analysis of UK Biobank.,Health Sciences,Public Health
pub.1143322546,2021,Salicylic Acid and Risk of Colorectal Cancer: A Two-Sample Mendelian Randomization Study,Health Sciences,Epidemiology
pub.1143322739,2021,"Association of polygenic risk scores, traumatic life events and coping strategies with war-related PTSD diagnosis and symptom severity in the South Eastern Europe (SEE)-PTSD cohort",Psychology,Clinical and Health Psychology
pub.1143331943,2021,Left atrial structure and function are associated with cardiovascular outcomes independent of left ventricular measures: a UK Biobank CMR study,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1143332154,2021,Genome-wide association study of mitochondrial copy number,Biological Sciences,Genetics
pub.1143332166,2021,Genetic overlap analysis of endometriosis and asthma identifies shared loci implicating sex hormones and thyroid signalling pathways,Biomedical and Clinical Sciences,Reproductive Medicine
pub.1143332205,2021,"Using multivariable Mendelian randomization to estimate the causal effect of bone mineral density on osteoarthritis risk, independently of body mass index",Health Sciences; Mathematical Sciences,Epidemiology; Statistics
pub.1143332360,2021,Curating a longitudinal research resource using linked primary care EHR data—a UK Biobank case study,Health Sciences,Health Services and Systems
pub.1143333557,2021,"The Frequency, Penetrance and Variable Expressivity of Dilated Cardiomyopathy-Associated Putative Pathogenic Gene Variants in UK Biobank Participants",Biological Sciences; Biomedical and Clinical Sciences; Health Sciences,Genetics
pub.1143333663,2021,"Actionable absolute risk prediction of atherosclerotic cardiovascular disease: a behavior-management approach based on data from 464,547 UK Biobank participants",Health Sciences,Health Services and Systems
pub.1143333694,2021,"Life course traumas, phenotypic aging, and cardiovascular disease: retrospective analysis of 104,939 UKB participants",Health Sciences,Epidemiology; Public Health
pub.1143333788,2021,Population-level changes in the mental health of UK workers during the COVID-19 pandemic: A longitudinal study using Understanding Society,Health Sciences,Public Health
pub.1143360949,2021,Inherited Thrombophilias Are Associated with an Increased Risk of COVID-19 Associated Venous Thromboembolism: A Prospective Population-Based Cohort Study,Biological Sciences; Biomedical and Clinical Sciences,Biochemistry and Cell Biology; Cardiovascular Medicine and Haematology; Paediatrics
pub.1143362812,2021,Inherited Blood Cancer Predisposition through Altered Transcription Elongation,Biological Sciences; Biomedical and Clinical Sciences,Genetics
pub.1143362891,2021,Obesity-Induced Inflammation Co-Operates with Clonal Hematopoiesis of Indeterminate Potential (CHIP) Mutants to Promote Leukemia Development and Cardiovascular Disease,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Paediatrics
pub.1143362956,2021,The Association between Clonal Hematopoiesis and Gout,Biomedical and Clinical Sciences,Clinical Sciences
pub.1143379085,2021,Meta-Analysis of Transcriptome-Wide Association Studies across 13 Brain Tissues Identified Novel Clusters of Genes Associated with Nicotine Addiction,Biological Sciences; Biomedical and Clinical Sciences; Health Sciences; Psychology,Biological Psychology; Epidemiology; Genetics; Pharmacology and Pharmaceutical Sciences
pub.1143405255,2021,"Association of Increased Body Mass Index and Waist to Hip Ratio with Kidney Stone Disease: a prospective analysis of 493,410 UK Biobank participants",Health Sciences,Epidemiology
pub.1143450103,2021,Causal effects from non‐alcoholic fatty liver disease on kidney function: A Mendelian randomization study,Biomedical and Clinical Sciences,Clinical Sciences
pub.1143453533,2021,Genetically predicted sex hormone binding globulin and ischemic heart disease in men and women: a univariable and multivariable Mendelian randomization study,Health Sciences,Epidemiology
pub.1143454222,2021,Associations of frailty with cardiovascular disease and life expectancy: A prospective cohort study,Health Sciences,Epidemiology; Public Health
pub.1143457750,2021,Probabilistic inference of the genetic architecture underlying functional enrichment of complex traits,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1143458355,2021,"Breast and prostate cancer risk: The interplay of polygenic risk, rare pathogenic germline variants, and family history",Biological Sciences,Genetics
pub.1143460489,2021,Sex-Specific Associations of Testosterone and Genetic Factors With Health Span,Biomedical and Clinical Sciences,Clinical Sciences
pub.1143463242,2021,MOCOnet: Robust Motion Correction of Cardiovascular Magnetic Resonance T1 Mapping Using Convolutional Neural Networks,Biomedical and Clinical Sciences,Clinical Sciences
pub.1143465093,2021,The MUC5B Promoter Polymorphism Associates With Severe COVID-19 in the European Population,Biomedical and Clinical Sciences; Health Sciences,Epidemiology
pub.1143465873,2021,Univariable and Multivariable Two-Sample Mendelian Randomization Investigating the Effects of Leisure Sedentary Behaviors on the Risk of Lung Cancer,Biological Sciences,Genetics
pub.1143469473,2022,Cardiovascular Risk Factors and MRI Markers of Cerebral Small Vessel Disease,Biomedical and Clinical Sciences,Clinical Sciences; Neurosciences
pub.1143491872,2021,Lesion covariance networks reveal proposed origins and pathways of diffuse gliomas,Biomedical and Clinical Sciences; Psychology,Biological Psychology
pub.1143491895,2021,Western and Carnivorous Dietary Patterns are Associated with Greater Likelihood of IBD Development in a Large Prospective Population-based Cohort,Biomedical and Clinical Sciences,Nutrition and Dietetics
pub.1143492299,2021,"Pancreas MRI segmentation into head, body, and tail enables regional quantitative analysis of heterogeneous disease",Biomedical and Clinical Sciences,Clinical Sciences
pub.1143494572,2022,"Associations of A Body Shape Index (ABSI) with cancer incidence, all-cause and at 23 sites- Findings from the UK Biobank prospective cohort study",Biomedical and Clinical Sciences; Health Sciences,Epidemiology; Health Services and Systems; Oncology and Carcinogenesis
pub.1143494624,2021,Oxidized Phospholipids Promote NETosis and Arterial Thrombosis in LNK(SH2B3) Deficiency,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1143495175,2021,A combined genome-wide association and molecular study of age-related hearing loss in H. sapiens,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences
pub.1143505612,2022,Macronutrient Intake and Risk of Dementia in Community-Dwelling Older Adults: A Nine-Year Follow-Up Cohort Study,Biomedical and Clinical Sciences,Nutrition and Dietetics
pub.1143507425,2021,Pathway Association Studies Reveal Gene Loci and Pathway Networks that Associated With Plasma Cystatin C Levels,Biological Sciences,Biochemistry and Cell Biology; Genetics
pub.1143507490,2021,Impact of Liability to Periodontitis on Glycemic Control and Type II Diabetes Risk: A Mendelian Randomization Study,Biological Sciences,Genetics
pub.1143511042,2021,"Unhealthy Lifestyle, Genetics and Risk of Cardiovascular Disease and Mortality in 76,958 Individuals from the UK Biobank Cohort Study",Biomedical and Clinical Sciences; Health Sciences,Epidemiology; Public Health
pub.1143520698,2021,Macular thickness varies with age-related macular degeneration genetic risk variants in the UK Biobank cohort,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1143523289,2021,Differential Sleep Traits Have No Causal Effect on Inflammatory Bowel Diseases: A Mendelian Randomization Study,Biomedical and Clinical Sciences,Pharmacology and Pharmaceutical Sciences
pub.1143524708,2021,Association Study of Genetic Variants in Calcium Signaling-Related Genes With Cardiovascular Diseases,Biological Sciences; Biomedical and Clinical Sciences,Genetics; Medical Physiology
pub.1143525152,2021,P003 Meat Consumption and All-Cause Mortality in 5763 Inflammatory Bowel Disease Patients: A Prospective Cohort Study,Biomedical and Clinical Sciences,Clinical Sciences
pub.1143525563,2021,Associations of changes in physical activity and discretionary screen time with incident obesity and adiposity changes: longitudinal findings from the UK Biobank,Biomedical and Clinical Sciences; Health Sciences,Nutrition and Dietetics; Public Health
pub.1143525771,2021,Equitable modelling of brain imaging by counterfactual augmentation with morphologically constrained 3D deep generative models,Information and Computing Sciences,Machine Learning
pub.1143526731,2021,Association Between Inflammatory Bowel Disease and Dementia: A Longitudinal Cohort Study,Biomedical and Clinical Sciences,Clinical Sciences
pub.1143526750,2021,Conventional and Bidirectional Genetic Evidence on Resting Heart Rate and Cardiometabolic Traits,Biomedical and Clinical Sciences,Clinical Sciences
pub.1143532676,2021,Welch-weighted Egger regression reduces false positives due to correlated pleiotropy in Mendelian randomization,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1143534880,2021,Fast estimation of genetic correlation for biobank-scale data,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1143536528,2021,Application of information theoretic feature selection and machine learning methods for the development of genetic risk prediction models,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences
pub.1143537258,2021,Dose-response association between device-measured physical activity and incident dementia: a prospective study from UK Biobank,Health Sciences,Health Services and Systems; Public Health
pub.1143539276,2021,Mapping the serum proteome to neurological diseases using whole genome sequencing,Biological Sciences; Health Sciences,Genetics
pub.1143545476,2021,Twenty-Five Novel Loci for Carotid Intima-Media Thickness: A Genome-Wide Association Study in >45 000 Individuals and Meta-Analysis of >100 000 Individuals,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1143546077,2022,Immune-Mediated Diseases Associated With Cancer Risks,Biomedical and Clinical Sciences,Oncology and Carcinogenesis
pub.1143546105,2021,Association of Genetic Variant at Chromosome 12q23.1 With Neuropathic Pain Susceptibility,Biomedical and Clinical Sciences; Health Sciences,Epidemiology
pub.1143546241,2021,Genetic Risk for Smoking: Disentangling Interplay Between Genes and Socioeconomic Status,Health Sciences,Epidemiology; Public Health
pub.1143546242,2021,Modeling Interaction and Dispersion Effects in the Analysis of Gene-by-Environment Interaction,Health Sciences,Epidemiology
pub.1143554156,2021,Vitamin D status of British African-Caribbean residents: analysis of the UK Biobank cohort,Unclassified,Unclassified
pub.1143573538,2021,Genetic and functional evidence links a missense variant in B4GALT1 to lower LDL and fibrinogen,Biological Sciences; Biomedical and Clinical Sciences,Biochemistry and Cell Biology
pub.1143577257,2021,"Genome-wide analysis of mitochondrial DNA copy number reveals loci implicated in nucleotide metabolism, platelet activation, and megakaryocyte proliferation",Biological Sciences,Genetics
pub.1143582236,2021,Regular use of proton-pump inhibitors and risk of stroke: a population-based cohort study and meta-analysis of randomized-controlled trials,Health Sciences,Epidemiology
